Rank,Title,Band,Country,Year,Compilation,Live,YearRank,DecadeRank,OverallRank,RankScore,AvgRating,NumRatings,AlbumID
242,Honeymoon,Lana Del Rey,us,2015,No,No,23,242,1537,1147,71.408424377,215,86667
243,My Head Is An Animal,Of Monsters And Men,is,2011,No,No,36,243,1538,1147,73.427230835,257,24863
244,Queen Of Denmark,John Grant,us,2010,No,No,24,244,1540,1144,77.069465637,131,12482
245,Swim,Caribou,ca,2010,No,No,25,245,1541,1141,77.573814392,271,10037
246,Veteran,JPEGMAFIA,us,2018,No,No,21,246,1550,1134,76.909591675,252,129359
247,How I Got Over,The Roots,us,2010,No,No,26,247,1551,1133,79.055763245,203,11141
248,All Mirrors,Angel Olsen,us,2019,No,No,13,248,1553,1129,79.125190735,228,157159
249,Evil Friends,Portugal. The Man,us,2013,No,No,34,249,1560,1119,74.867858887,159,41890
250,50 Words For Snow,Kate Bush,uk,2011,No,No,37,250,1564,1118,74.164123535,260,19769
251,I'm In Your Mind Fuzz,King Gizzard +ACY- The Lizard Wizard,au,2014,No,No,27,251,1568,1111,80.945747375,165,72961
252,Black Up,Shabazz Palaces,us,2011,No,No,38,252,1570,1110,77.257614136,178,16696
253,Valtari,Sigur R+//3//Q-s,is,2012,No,No,22,253,1572,1108,74.833351135,309,24364
254,Whokill,Tune+AC0-Yards,us,2011,No,No,39,254,1577,1102,75.22379303,279,15441
255,My Love Is Cool,Wolf Alice,uk,2015,No,No,24,255,1593,1091,76.611114502,214,82753
256,Babel,Mumford +ACY- Sons,uk,2012,No,No,23,256,1596,1084,60.676548004,393,30360
257,Smoke Ring For My Halo,Kurt Vile,us,2011,No,No,40,257,1597,1083,76.994743347,251,15123
258,Remind Me Tomorrow,Sharon Van Etten,us,2019,No,No,14,258,1604,1077,77.656242371,319,145263
259,Jake Bugg,Jake Bugg,uk,2012,No,No,24,259,1605,1077,71.833877563,279,30652
260,If You're Reading This It's Too Late,Drake,ca,2015,No,No,25,260,1607,1073,70.839546204,293,75908
261,I Like It When You Sleep For You Are So Beautiful Yet So Unaware Of It,The 1975,uk,2016,No,No,26,261,1608,1072,68.078430176,230,87977
262,Nothing Was The Same,Drake,ca,2013,No,No,35,262,1609,1072,70.798820496,282,47423
263,Kill For Love,Chromatics,us,2012,No,No,25,263,1611,1068,75.3723526,216,23774
264,Painted Ruins,Grizzly Bear,us,2017,No,No,25,264,1614,1066,76.656585693,224,115710
265,II,Unknown Mortal Orchestra,un,2013,No,No,36,265,1617,1066,75.710586548,235,35766
266,Light Upon The Lake,Whitney,us,2016,No,No,27,266,1618,1065,77.899749756,155,97805
267,+ACI-How Big, How Blue, How Beautiful+ACI-,Florence  The Machine,uk,2015,No,No,26,267,1636,1054,74.597053528,250,80811
268,There Is Love In You,Four Tet,uk,2010,No,No,27,268,1638,1052,78.577781677,187,9377
269,Treats,Sleigh Bells,us,2010,No,No,28,269,1641,1049,72.104324341,238,10669
270,God+//3//f/9-s Favorite Customer,Father John Misty,us,2018,No,No,22,270,1650,1042,77.08744812,333,134202
271,Too Bright,Perfume Genius,us,2014,No,No,28,271,1669,1031,77.159767151,235,67010
272,Monomania,Deerhunter,us,2013,No,No,37,272,1679,1025,75.303283691,283,39637
273,Ghost Stories,Coldplay,uk,2014,No,No,29,273,1683,1022,60.04158783,535,59075
274,Born This Way,Lady Gaga,us,2011,No,No,41,274,1684,1018,58.315536499,309,16030
275,Heligoland,Massive Attack,uk,2010,No,No,29,275,1698,1010,73.726272583,253,9288
276,I Am Easy To Find,The National,us,2019,No,No,15,276,1702,1009,74.884460449,275,150229
277,Run The Jewels,Run The Jewels,us,2013,No,No,38,277,1706,1007,77.583587646,359,43085
278,Drones,Muse,uk,2015,No,No,27,278,1719,995,61.513210297,494,78462
279,Everything Now,Arcade Fire,un,2017,No,No,26,279,1721,994,64.668754578,639,116553
